elapsed_s,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_io,block_io
0,bench-vdg-1,0.00,9.324MiB,4GiB,11.2kB/7.59kB,0B/0B
0,bench-minio-1,0.05,247.8MiB,2GiB,16.6kB/8.82kB,154MB/53.2kB
4,bench-vdg-1,0.00,8.852MiB,4GiB,11.4kB/7.59kB,0B/0B
4,bench-minio-1,7.39,254.5MiB,2GiB,16.6kB/8.82kB,154MB/53.2kB
8,bench-vdg-1,0.01,8.613MiB,4GiB,11.4kB/7.59kB,0B/0B
8,bench-minio-1,15.92,268.6MiB,2GiB,16.6kB/8.82kB,154MB/57.3kB
12,bench-vdg-1,0.00,8.863MiB,4GiB,14.8kB/10.4kB,0B/0B
12,bench-minio-1,0.45,292.1MiB,2GiB,19.5kB/12.1kB,154MB/65.5kB
16,bench-vdg-1,0.00,8.648MiB,4GiB,14.8kB/10.4kB,0B/0B
16,bench-minio-1,0.00,306.7MiB,2GiB,19.5kB/12.1kB,154MB/65.5kB
20,bench-vdg-1,0.00,8.648MiB,4GiB,14.8kB/10.4kB,0B/0B
20,bench-minio-1,9.93,307.7MiB,2GiB,19.5kB/12.1kB,155MB/65.5kB
25,bench-vdg-1,0.01,8.648MiB,4GiB,14.8kB/10.4kB,0B/0B
25,bench-minio-1,0.02,309.9MiB,2GiB,19.5kB/12.1kB,158MB/69.6kB
29,bench-vdg-1,0.00,8.648MiB,4GiB,18.1kB/13.2kB,0B/0B
29,bench-minio-1,0.04,310MiB,2GiB,22.3kB/15.3kB,158MB/77.8kB
33,bench-vdg-1,0.00,8.41MiB,4GiB,18.1kB/13.2kB,0B/0B
33,bench-minio-1,0.00,283.2MiB,2GiB,22.3kB/15.3kB,159MB/77.8kB
37,bench-vdg-1,0.00,8.188MiB,4GiB,18.1kB/13.2kB,0B/0B
37,bench-minio-1,0.06,288.8MiB,2GiB,22.3kB/15.3kB,166MB/77.8kB
41,bench-vdg-1,111.79,192.7MiB,4GiB,208MB/16.6MB,0B/0B
41,bench-minio-1,26.95,344.4MiB,2GiB,10.9MB/1.49MB,180MB/12.8MB
45,bench-vdg-1,98.37,214.3MiB,4GiB,434MB/43.8MB,0B/0B
45,bench-minio-1,32.46,469.7MiB,2GiB,36.3MB/31.6MB,180MB/45.8MB
49,bench-vdg-1,96.28,226.9MiB,4GiB,611MB/70.2MB,0B/0B
49,bench-minio-1,27.14,496.6MiB,2GiB,70MB/48.9MB,181MB/83.6MB
52,bench-vdg-1,113.55,230.1MiB,4GiB,850MB/112MB,0B/0B
52,bench-minio-1,28.95,508.4MiB,2GiB,101MB/67.4MB,181MB/115MB
56,bench-vdg-1,204.86,232.8MiB,4GiB,1.23GB/163MB,0B/0B
56,bench-minio-1,27.98,512.8MiB,2GiB,148MB/98.9MB,182MB/164MB
60,bench-vdg-1,0.00,240.2MiB,4GiB,1.4GB/198MB,0B/0B
60,bench-minio-1,17.12,606.8MiB,2GiB,198MB/279MB,184MB/214MB
65,bench-vdg-1,154.70,289.8MiB,4GiB,1.48GB/208MB,0B/0B
65,bench-minio-1,0.03,606.8MiB,2GiB,198MB/279MB,184MB/214MB
69,bench-vdg-1,213.60,355.9MiB,4GiB,1.91GB/275MB,0B/0B
69,bench-minio-1,54.50,597.9MiB,2GiB,258MB/336MB,184MB/288MB
73,bench-vdg-1,335.43,377.2MiB,4GiB,2.47GB/341MB,0B/684kB
73,bench-minio-1,111.28,615.2MiB,2GiB,324MB/456MB,195MB/368MB
77,bench-vdg-1,214.33,411.7MiB,4GiB,2.86GB/406MB,0B/684kB
77,bench-minio-1,44.90,648.1MiB,2GiB,388MB/636MB,199MB/443MB
81,bench-vdg-1,159.70,425.7MiB,4GiB,3.19GB/476MB,0B/684kB
81,bench-minio-1,46.99,636.1MiB,2GiB,456MB/698MB,199MB/518MB
85,bench-vdg-1,54.90,394.5MiB,4GiB,3.4GB/543MB,0B/684kB
85,bench-minio-1,39.18,644MiB,2GiB,524MB/750MB,206MB/587MB
89,bench-vdg-1,66.90,379.2MiB,4GiB,3.63GB/545MB,0B/684kB
89,bench-minio-1,131.53,674.5MiB,2GiB,541MB/900MB,212MB/602MB
93,bench-vdg-1,174.66,430.7MiB,4GiB,3.94GB/595MB,0B/684kB
93,bench-minio-1,33.14,700.5MiB,2GiB,578MB/1.03GB,213MB/646MB
97,bench-vdg-1,167.20,411.8MiB,4GiB,4.26GB/655MB,0B/684kB
97,bench-minio-1,42.38,712MiB,2GiB,637MB/1.1GB,213MB/715MB
101,bench-vdg-1,184.63,431.8MiB,4GiB,4.5GB/701MB,0B/684kB
101,bench-minio-1,32.07,696.2MiB,2GiB,712MB/1.18GB,213MB/804MB
106,bench-vdg-1,220.48,433.3MiB,4GiB,5.11GB/775MB,0B/684kB
106,bench-minio-1,264.31,758.6MiB,2GiB,756MB/1.42GB,213MB/854MB
110,bench-vdg-1,179.15,444.9MiB,4GiB,5.43GB/835MB,0B/684kB
110,bench-minio-1,55.96,768.3MiB,2GiB,816MB/1.53GB,214MB/924MB
