elapsed_s,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_io,block_io
0,bench-vdg-1,46.89,94.74MiB,4GiB,30.1MB/2.02MB,0B/0B
0,bench-minio-1,21.70,260.3MiB,2GiB,5.68MB/654kB,14.3MB/7.77MB
4,bench-vdg-1,84.15,494.2MiB,4GiB,304MB/21MB,0B/0B
4,bench-minio-1,22.47,338.7MiB,2GiB,17.1MB/7.13MB,14.3MB/25.5MB
9,bench-vdg-1,79.10,569.5MiB,4GiB,471MB/32.6MB,0B/0B
9,bench-minio-1,25.59,380.8MiB,2GiB,32.5MB/8.51MB,14.3MB/49.6MB
12,bench-vdg-1,80.73,766.3MiB,4GiB,618MB/43.4MB,0B/0B
12,bench-minio-1,21.73,399.2MiB,2GiB,47MB/9.83MB,14.3MB/72.2MB
16,bench-vdg-1,32.80,855.6MiB,4GiB,780MB/61.1MB,0B/0B
16,bench-minio-1,21.96,427MiB,2GiB,58.4MB/10.9MB,14.3MB/90MB
20,bench-vdg-1,0.00,855.6MiB,4GiB,786MB/61.1MB,0B/0B
20,bench-minio-1,14.01,429.5MiB,2GiB,62.5MB/16.6MB,14.3MB/96.3MB
24,bench-vdg-1,80.50,935.4MiB,4GiB,1.03GB/75.1MB,0B/0B
24,bench-minio-1,22.02,431.7MiB,2GiB,78.4MB/18.1MB,14.3MB/121MB
28,bench-vdg-1,77.95,973.9MiB,4GiB,1.28GB/95MB,0B/0B
28,bench-minio-1,21.80,436.4MiB,2GiB,90.6MB/19.2MB,14.3MB/140MB
32,bench-vdg-1,77.02,1001MiB,4GiB,1.48GB/111MB,0B/0B
32,bench-minio-1,21.84,438.4MiB,2GiB,106MB/20.6MB,14.3MB/165MB
36,bench-vdg-1,56.50,1.111GiB,4GiB,1.6GB/122MB,0B/0B
36,bench-minio-1,15.04,444.2MiB,2GiB,124MB/27.7MB,14.3MB/192MB
40,bench-vdg-1,64.91,1.116GiB,4GiB,1.66GB/126MB,0B/0B
40,bench-minio-1,0.03,443.9MiB,2GiB,124MB/27.7MB,14.3MB/192MB
44,bench-vdg-1,78.38,1.173GiB,4GiB,1.83GB/138MB,0B/0B
44,bench-minio-1,19.90,444.4MiB,2GiB,135MB/28.7MB,14.3MB/210MB
48,bench-vdg-1,78.21,1.169GiB,4GiB,1.98GB/150MB,0B/0B
48,bench-minio-1,39.26,451.2MiB,2GiB,146MB/35.1MB,14.3MB/226MB
52,bench-vdg-1,76.56,1.201GiB,4GiB,2.15GB/163MB,0B/0B
52,bench-minio-1,18.39,453.2MiB,2GiB,159MB/36.2MB,14.3MB/247MB
56,bench-vdg-1,62.28,1.201GiB,4GiB,2.23GB/173MB,0B/0B
56,bench-minio-1,20.87,454.6MiB,2GiB,170MB/37.3MB,14.3MB/264MB
